name;epidCode;growthRate;region;archived;externalID
LK Alzey-Worms;AZ;0;Rheinland-Pfalz;0;11007331
LK Bad Dürkheim;DÜW;0;Rheinland-Pfalz;0;11007332
LK Donnersbergkreis;KIB;0;Rheinland-Pfalz;0;11007333
LK Germersheim;GER;0;Rheinland-Pfalz;0;11007334
LK Kaiserslautern;KL;0;Rheinland-Pfalz;0;11007335
LK Kusel;KUS;0;Rheinland-Pfalz;0;11007336
LK Südliche Weinstraße;SÜW;0;Rheinland-Pfalz;0;11007337
LK Rhein-Pfalz-Kreis;LU;0;Rheinland-Pfalz;0;11007338
LK Mainz-Bingen;MZ;0;Rheinland-Pfalz;0;11007339
LK Südwestpfalz;PS;0;Rheinland-Pfalz;0;11007340
SK Stuttgart;S;0;Baden-Württemberg;0;11008111
LK Böblingen;BB;0;Baden-Württemberg;0;11008115
LK Esslingen;ES;0;Baden-Württemberg;0;11008116
LK Göppingen;GP;0;Baden-Württemberg;0;11008117
LK Ludwigsburg;LB;0;Baden-Württemberg;0;11008118
LK Rems-Murr-Kreis;WN;0;Baden-Württemberg;0;11008119
SK Heilbronn;HN;0;Baden-Württemberg;0;11008121
LK Heilbronn;HN;0;Baden-Württemberg;0;11008125
LK Hohenlohekreis;KÜN;0;Baden-Württemberg;0;11008126
LK Schwäbisch Hall;SHA;0;Baden-Württemberg;0;11008127
LK Main-Tauber-Kreis;TBB;0;Baden-Württemberg;0;11008128
LK Heidenheim;HDH;0;Baden-Württemberg;0;11008135
LK Ostalbkreis;AA;0;Baden-Württemberg;0;11008136
SK Baden-Baden;BAD;0;Baden-Württemberg;0;11008211
SK Karlsruhe;KA;0;Baden-Württemberg;0;11008212
LK Karlsruhe;KA;0;Baden-Württemberg;0;11008215
LK Rastatt;RA;0;Baden-Württemberg;0;11008216
SK Heidelberg;HD;0;Baden-Württemberg;0;11008221
SK Mannheim;MA;0;Baden-Württemberg;0;11008222
LK Neckar-Odenwald-Kreis;MOS;0;Baden-Württemberg;0;11008225
LK Rhein-Neckar-Kreis;HD;0;Baden-Württemberg;0;11008226
SK Pforzheim;PF;0;Baden-Württemberg;0;11008231
LK Calw;CW;0;Baden-Württemberg;0;11008235
LK Enzkreis;PF;0;Baden-Württemberg;0;11008236
LK Freudenstadt;FDS;0;Baden-Württemberg;0;11008237
SK Freiburg i.Breisgau;FR;0;Baden-Württemberg;0;11008311
LK Breisgau-Hochschwarzwald;FR;0;Baden-Württemberg;0;11008315
LK Emmendingen;EM;0;Baden-Württemberg;0;11008316
LK Ortenaukreis;OG;0;Baden-Württemberg;0;11008317
LK Rottweil;RW;0;Baden-Württemberg;0;11008325
LK Schwarzwald-Baar-Kreis;VS;0;Baden-Württemberg;0;11008326
LK Tuttlingen;TUT;0;Baden-Württemberg;0;11008327
LK Konstanz;KN;0;Baden-Württemberg;0;11008335
LK Lörrach;LÖ;0;Baden-Württemberg;0;11008336
LK Waldshut;WT;0;Baden-Württemberg;0;11008337
LK Reutlingen;RT;0;Baden-Württemberg;0;11008415
LK Tübingen;TÜ;0;Baden-Württemberg;0;11008416
LK Zollernalbkreis;BL;0;Baden-Württemberg;0;11008417
SK Ulm;UL;0;Baden-Württemberg;0;11008421
LK Alb-Donau-Kreis;UL;0;Baden-Württemberg;0;11008425
LK Biberach;BC;0;Baden-Württemberg;0;11008426
LK Bodenseekreis;FN;0;Baden-Württemberg;0;11008435
LK Ravensburg;RV;0;Baden-Württemberg;0;11008436
LK Sigmaringen;SIG;0;Baden-Württemberg;0;11008437
SK Ingolstadt;IN;0;Bayern;0;11009161
SK München;M;0;Bayern;0;11009162
SK Rosenheim;RO;0;Bayern;0;11009163
LK Altötting;AÖ;0;Bayern;0;11009171
LK Berchtesgadener Land;REI;0;Bayern;0;11009172
LK Bad Tölz-Wolfratshausen;TÖL;0;Bayern;0;11009173
LK Dachau;DAH;0;Bayern;0;11009174
LK Ebersberg;EBE;0;Bayern;0;11009175
LK Eichstätt;EIH;0;Bayern;0;11009176
LK Erding;ED;0;Bayern;0;11009177
LK Freising;FS;0;Bayern;0;11009178
LK Fürstenfeldbruck;FFB;0;Bayern;0;11009179
LK Garmisch-Partenkirchen;GAP;0;Bayern;0;11009180
LK Landsberg a.Lech;LL;0;Bayern;0;11009181
LK Miesbach;MB;0;Bayern;0;11009182
LK Mühldorf a.Inn;MÜ;0;Bayern;0;11009183
LK München;M;0;Bayern;0;11009184
LK Neuburg-Schrobenhausen;ND;0;Bayern;0;11009185
LK Pfaffenhofen a.d.Ilm;PAF;0;Bayern;0;11009186
LK Rosenheim;RO;0;Bayern;0;11009187
LK Starnberg;STA;0;Bayern;0;11009188
LK Traunstein;TS;0;Bayern;0;11009189
LK Weilheim-Schongau;WM;0;Bayern;0;11009190
SK Landshut;LA;0;Bayern;0;11009261
SK Passau;PA;0;Bayern;0;11009262
SK Straubing;SR;0;Bayern;0;11009263
LK Deggendorf;DEG;0;Bayern;0;11009271
LK Freyung-Grafenau;WOS;0;Bayern;0;11009272
LK Kelheim;KEH;0;Bayern;0;11009273
LK Landshut;LA;0;Bayern;0;11009274
LK Passau;PA;0;Bayern;0;11009275
LK Regen;REG;0;Bayern;0;11009276
LK Rottal-Inn;PAN;0;Bayern;0;11009277
LK Straubing-Bogen;SR;0;Bayern;0;11009278
LK Dingolfing-Landau;LAN;0;Bayern;0;11009279
SK Amberg;AM;0;Bayern;0;11009361
SK Regensburg;R;0;Bayern;0;11009362
SK Weiden i.d.OPf.;WEN;0;Bayern;0;11009363
LK Amberg-Sulzbach;AS;0;Bayern;0;11009371
LK Cham;CHA;0;Bayern;0;11009372
LK Neumarkt i.d.OPf.;NM;0;Bayern;0;11009373
LK Neustadt a.d.Waldnaab;NEW;0;Bayern;0;11009374
LK Regensburg;R;0;Bayern;0;11009375
LK Schwandorf;SAD;0;Bayern;0;11009376
LK Tirschenreuth;TIR;0;Bayern;0;11009377
SK Bamberg;BA;0;Bayern;0;11009461
SK Bayreuth;BT;0;Bayern;0;11009462
SK Coburg;CO;0;Bayern;0;11009463
SK Hof;HO;0;Bayern;0;11009464
LK Bamberg;BA;0;Bayern;0;11009471
LK Bayreuth;BT;0;Bayern;0;11009472
LK Coburg;NEC;0;Bayern;0;11009473
LK Forchheim;FO;0;Bayern;0;11009474
LK Hof;HO;0;Bayern;0;11009475
LK Kronach;KC;0;Bayern;0;11009476
LK Kulmbach;KU;0;Bayern;0;11009477
LK Lichtenfels;LIF;0;Bayern;0;11009478
LK Wunsiedel i.Fichtelgebirge;WUN;0;Bayern;0;11009479
SK Ansbach;AN;0;Bayern;0;11009561
SK Erlangen;ER;0;Bayern;0;11009562
SK Fürth;FÜ;0;Bayern;0;11009563
SK Nürnberg;N;0;Bayern;0;11009564
SK Schwabach;SC;0;Bayern;0;11009565
LK Ansbach;AN;0;Bayern;0;11009571
LK Erlangen-Höchstadt;ERL;0;Bayern;0;11009572
LK Fürth;FÜ;0;Bayern;0;11009573
LK Nürnberger Land;LAU;0;Bayern;0;11009574
LK Neustadt a.d.Aisch-Bad Windsheim;NEA;0;Bayern;0;11009575
LK Roth;RH;0;Bayern;0;11009576
LK Weißenburg-Gunzenhausen;WUG;0;Bayern;0;11009577
SK Aschaffenburg;AB;0;Bayern;0;11009661
SK Schweinfurt;SW;0;Bayern;0;11009662
SK Würzburg;WÜ;0;Bayern;0;11009663
LK Aschaffenburg;AB;0;Bayern;0;11009671
LK Bad Kissingen;KG;0;Bayern;0;11009672
LK Rhön-Grabfeld;NES;0;Bayern;0;11009673
LK Haßberge;HAS;0;Bayern;0;11009674
LK Kitzingen;KT;0;Bayern;0;11009675
LK Miltenberg;MIL;0;Bayern;0;11009676
LK Main-Spessart;MSP;0;Bayern;0;11009677
LK Schweinfurt;SW;0;Bayern;0;11009678
LK Würzburg;WÜ;0;Bayern;0;11009679
SK Augsburg;A;0;Bayern;0;11009761
SK Kaufbeuren;KF;0;Bayern;0;11009762
SK Kempten;KE;0;Bayern;0;11009763
SK Memmingen;MM;0;Bayern;0;11009764
LK Aichach-Friedberg;AIC;0;Bayern;0;11009771
LK Augsburg;A;0;Bayern;0;11009772
LK Dillingen a.d.Donau;DLG;0;Bayern;0;11009773
LK Günzburg;GZ;0;Bayern;0;11009774
LK Neu-Ulm;NU;0;Bayern;0;11009775
LK Lindau;LI;0;Bayern;0;11009776
LK Ostallgäu;OAL;0;Bayern;0;11009777
LK Unterallgäu;MN;0;Bayern;0;11009778
LK Donau-Ries;DON;0;Bayern;0;11009779
LK Oberallgäu;SF;0;Bayern;0;11009780
LK Stadtverband Saarbrücken;SB;0;Saarland;0;11010041
LK Merzig-Wadern;MZG;0;Saarland;0;11010042
LK Neunkirchen;NK;0;Saarland;0;11010043
LK Saarlouis;SLS;0;Saarland;0;11010044
LK Saarpfalz-Kreis;HOM;0;Saarland;0;11010045
LK Sankt Wendel;WND;0;Saarland;0;11010046
SK Berlin Mitte;B;0;Berlin;0;11011001
SK Berlin Friedrichshain-Kreuzberg;B;0;Berlin;0;11011002
SK Berlin Pankow;B;0;Berlin;0;11011003
SK Berlin Charlottenburg-Wilmersdorf;B;0;Berlin;0;11011004
SK Berlin Spandau;B;0;Berlin;0;11011005
SK Berlin Steglitz-Zehlendorf;B;0;Berlin;0;11011006
SK Berlin Tempelhof-Schöneberg;B;0;Berlin;0;11011007
SK Berlin Neukölln;B;0;Berlin;0;11011008
SK Berlin Treptow-Köpenick;B;0;Berlin;0;11011009
SK Berlin Marzahn-Hellersdorf;B;0;Berlin;0;11011010
SK Berlin Lichtenberg;B;0;Berlin;0;11011011
SK Berlin Reinickendorf;B;0;Berlin;0;11011012
