name,epidCode,growthRate,region,archived,externalID,uuid
LK Rhein-Kreis Neuss,NE,0,Nordrhein-Westfalen,0,11005162,27bfa43d-943e-5bd0-bb1e-36e6d462053e
LK Viersen,VIE,0,Nordrhein-Westfalen,0,11005166,19a10e13-ea6c-5771-8f91-7e727985f5b3
LK Wesel,WES,0,Nordrhein-Westfalen,0,11005170,469b73ed-4c83-5bb8-9201-16858add09e4
SK Aachen,AC,0,Nordrhein-Westfalen,0,11005313,b2dac3b0-ddb2-548d-bda6-eee2c1637d3f
SK Bonn,BN,0,Nordrhein-Westfalen,0,11005314,289aec41-34bc-5fb8-93be-c76b3b0b61e2
SK Köln,K,0,Nordrhein-Westfalen,0,11005315,a134c20e-575e-59a3-a120-c17a7b67fa1a
SK Leverkusen,LEV,0,Nordrhein-Westfalen,0,11005316,a57d1a87-490b-5bdb-9ed1-3871efd92e26
StadtRegion Aachen,AC,0,Nordrhein-Westfalen,0,11005334,d80aa133-b4db-5caa-9298-18ab5c63fa9e
LK Aachen,AC,0,Nordrhein-Westfalen,0,11005354,03c55729-4870-5690-a95d-ffc45c7d195f
LK Düren,DN,0,Nordrhein-Westfalen,0,11005358,5c6bc721-cd1c-566a-ac87-c3c357147047
LK Rhein-Erft-Kreis,BM,0,Nordrhein-Westfalen,0,11005362,d260fda6-b44b-5f19-80f3-e23eb4736553
LK Euskirchen,EU,0,Nordrhein-Westfalen,0,11005366,0423a5ef-4fc9-58d5-94ee-c30a85c9252f
LK Heinsberg,HS,0,Nordrhein-Westfalen,0,11005370,afb3419d-48b1-5958-9ba8-766123d51fe9
LK Oberbergischer Kreis,GM,0,Nordrhein-Westfalen,0,11005374,820f3c74-9297-5686-b262-db2b91c80556
LK Rheinisch-Bergischer Kreis,GL,0,Nordrhein-Westfalen,0,11005378,2c4c54f3-d0ae-56d3-ba93-cd142ae74a64
LK Rhein-Sieg-Kreis,SU,0,Nordrhein-Westfalen,0,11005382,9782594f-c0cd-540b-a0c5-495ec27a8ffd
SK Bottrop,BOT,0,Nordrhein-Westfalen,0,11005512,fb96f8c9-1b04-56cf-b3ac-acf533fc6497
SK Gelsenkirchen,GE,0,Nordrhein-Westfalen,0,11005513,39b9ee37-50c9-5def-8ee5-64733aadd0d2
SK Münster,MS,0,Nordrhein-Westfalen,0,11005515,e8e79480-5fe5-59cf-9175-5ec2e72049ae
LK Borken,BOR,0,Nordrhein-Westfalen,0,11005554,5d184a1e-2ea4-57f9-a14c-c93f83159364
LK Coesfeld,COE,0,Nordrhein-Westfalen,0,11005558,1f6746a0-ddab-5944-bd02-251bdb9b2aca
LK Recklinghausen,RE,0,Nordrhein-Westfalen,0,11005562,d49d0032-afd2-5433-964f-9fc419bb268e
LK Steinfurt,ST,0,Nordrhein-Westfalen,0,11005566,770cbb85-5d03-5683-a6b0-d11342170a4e
LK Warendorf,WAF,0,Nordrhein-Westfalen,0,11005570,601e5d13-404e-5048-85fc-bd453679ae44
SK Bielefeld,BI,0,Nordrhein-Westfalen,0,11005711,2e7d9d70-5ff3-5e71-b168-8c79dad66743
LK Gütersloh,GT,0,Nordrhein-Westfalen,0,11005754,02ef2645-a02f-56a1-91c1-b505ece123ea
LK Herford,HF,0,Nordrhein-Westfalen,0,11005758,03118c50-4504-5746-acfa-7eb8855a1238
LK Höxter,HX,0,Nordrhein-Westfalen,0,11005762,aaaaa2ef-68fc-536a-8ec0-b66c197905db
LK Lippe,LIP,0,Nordrhein-Westfalen,0,11005766,07d69f6b-1b32-5c67-9a1f-a33849d921ff
LK Minden-Lübbecke,MI,0,Nordrhein-Westfalen,0,11005770,b6387882-0847-5995-bf70-1606ec6ea5b3
LK Paderborn,PB,0,Nordrhein-Westfalen,0,11005774,eac4cf54-aca5-52d1-a9dc-a86d3d53cdbd
SK Bochum,BO,0,Nordrhein-Westfalen,0,11005911,cfc6d045-8bdb-505d-953a-dd8acbfd2dc4
SK Dortmund,DO,0,Nordrhein-Westfalen,0,11005913,9f73805a-d927-5acb-b0a0-bd01efac7a25
SK Hagen,HA,0,Nordrhein-Westfalen,0,11005914,4cb46bc5-c528-5321-a5ce-8d8bad1d14ab
SK Hamm,HAM,0,Nordrhein-Westfalen,0,11005915,6a24ac99-be4e-50c0-a708-5c4fc2221646
SK Herne,HER,0,Nordrhein-Westfalen,0,11005916,900f3e3f-9635-51a4-87df-9ee91662f876
LK Ennepe-Ruhr-Kreis,EN,0,Nordrhein-Westfalen,0,11005954,29a1f6da-d6f5-56c8-be18-d367d88c096a
LK Hochsauerlandkreis,MES,0,Nordrhein-Westfalen,0,11005958,5b4dd94b-3402-5c5e-b02a-360268c9a74e
LK Märkischer Kreis,MK,0,Nordrhein-Westfalen,0,11005962,ff18a414-a06d-5ced-ba45-57abb3e6771e
LK Olpe,OE,0,Nordrhein-Westfalen,0,11005966,15353191-4bb0-5868-b944-e66aa4ac1910
LK Siegen-Wittgenstein,SI,0,Nordrhein-Westfalen,0,11005970,45b53097-18fa-55c9-93eb-824dcb4f6b81
LK Soest,SO,0,Nordrhein-Westfalen,0,11005974,b114a5dd-b883-527a-9235-2c089257e95f
LK Unna,UN,0,Nordrhein-Westfalen,0,11005978,07a4fd8c-adb7-5288-abd6-1307741b9eef
SK Darmstadt,DA,0,Hessen,0,11006411,af7e0cd5-40fb-568f-b538-0a829f568e7d
SK Frankfurt am Main,F,0,Hessen,0,11006412,2dddfee4-ac62-59b1-a452-60a08fd9810f
SK Offenbach,OF,0,Hessen,0,11006413,3922bb26-2632-5c5b-8644-bc477ee05124
SK Wiesbaden,WI,0,Hessen,0,11006414,5602abb0-70ee-5909-bf6d-0c9e8f75fc5d
LK Bergstraße,HP,0,Hessen,0,11006431,3e0fb6f8-c54c-5561-b27b-71b094c177d9
LK Darmstadt-Dieburg,DI,0,Hessen,0,11006432,db561a61-6872-5e33-81be-b188eed2c8f9
LK Groß-Gerau,GG,0,Hessen,0,11006433,373dc1dd-bd44-56c0-bb73-0a3c66871b3a
LK Hochtaunuskreis,HG,0,Hessen,0,11006434,c1df5ba6-aa9a-5d67-8f9a-f408951acd8c
LK Main-Kinzig-Kreis,HU,0,Hessen,0,11006435,71898975-2187-550e-a893-135bf227bb93
LK Main-Taunus-Kreis,MTK,0,Hessen,0,11006436,7979784b-acf3-52c1-ada8-f98759c302fe
LK Odenwaldkreis,ERB,0,Hessen,0,11006437,9eff9168-5a23-58cd-a72e-21b7a75a283b
LK Offenbach,OF,0,Hessen,0,11006438,a2a0fd23-43ac-5914-b806-78517430ecbe
LK Rheingau-Taunus-Kreis,SWA,0,Hessen,0,11006439,a3a88c83-ecd7-5f0b-acd1-af3dd6a681ce
LK Wetteraukreis,FB,0,Hessen,0,11006440,b96f0cb3-4d4f-5c35-929b-f82a5083a447
LK Gießen,GI,0,Hessen,0,11006531,4c0b7a78-8a42-54c4-80bf-03eab04bba0b
LK Lahn-Dill-Kreis,LDK,0,Hessen,0,11006532,260b2144-a30f-5878-b50e-050e71972f07
LK Limburg-Weilburg,LM,0,Hessen,0,11006533,d0dbe10c-f20d-5145-af33-3fee972cb1e1
